22/10/2020 | 14/10/36 | Admin El_Profesor | Igrac: El_Profesor | Level vipa: 6
22/10/2020 | 14/11/25 | Admin El_Profesor | Igrac: El_Profesor | Level vipa: 0
24/10/2020 | 9/12/41 | Admin Shile_Wagger | Igrac: Shile_Wagger | Level vipa: 6
24/10/2020 | 9/13/39 | Admin Shile_Wagger | Igrac: Shile_Wagger | Level vipa: 1
24/10/2020 | 9/13/41 | Admin Shile_Wagger | Igrac: Shile_Wagger | Level vipa: 0
24/10/2020 | 19/23/58 | Admin Ramox_Shaolin | Igrac: Tebrix_Korely | Level vipa: 4
24/10/2020 | 19/27/49 | Admin Ramox_Shaolin | Igrac: Olxx_Pacowsky | Level vipa: 5
24/10/2020 | 19/32/33 | Admin Ramox_Shaolin | Igrac: Sedox_Pacowsky | Level vipa: 3
24/10/2020 | 20/13/8 | Admin Ramox_Shaolin | Igrac: Dandaman_Bralee | Level vipa: 1
24/10/2020 | 20/14/20 | Admin Ramox_Shaolin | Igrac: Dandaman_Bralee | Level vipa: 0
24/10/2020 | 20/14/46 | Admin Ramox_Shaolin | Igrac: Mike_Bakardi | Level vipa: 6
24/10/2020 | 20/24/51 | Admin Ramox_Shaolin | Igrac: Edox_Korely | Level vipa: 3
24/10/2020 | 20/44/37 | Admin Ramox_Shaolin | Igrac: Exec_Wild | Level vipa: 1
24/10/2020 | 20/56/16 | Admin Ramox_Shaolin | Igrac: Ahmed_Pacowsky | Level vipa: 2
24/10/2020 | 21/54/7 | Admin Ramox | Igrac: Hasib_Pibee | Level vipa: 2
24/10/2020 | 21/55/54 | Admin Ramox | Igrac: Gogo_Shaolin | Level vipa: 1
24/10/2020 | 22/22/39 | Admin Ramox | Igrac: Adis_Pacowsky | Level vipa: 6
24/10/2020 | 22/27/48 | Admin Ramox | Igrac: Stefke_Boss | Level vipa: 3
25/10/2020 | 23/16/52 | Admin Ramox | Igrac: Exec_Wild | Level vipa: 0
3/7/2021 | 10/4/43 | Admin V01D | Igrac: V01D | Level vipa: 0
